競馬場,距離,芝ダ,血統区分,TOP5系統,修正前TOP1系統,最終対象系統数,最終対象系統,同条件馬券内総数,最終該当馬券内数,最終占有率%,36R換算_馬券内頭数,採用項目数,条件1項目,条件1内容,条件1合算率%,条件1基準%,条件1残留系統,条件2項目,条件2内容,条件2合算率%,条件2基準%,条件2残留系統,条件3項目,条件3内容,条件3合算率%,条件3基準%,条件3残留系統,条件4項目,条件4内容,条件4合算率%,条件4基準%,条件4残留系統,条件5項目,条件5内容,条件5合算率%,条件5基準%,条件5残留系統,条件6項目,条件6内容,条件6合算率%,条件6基準%,条件6残留系統,条件7項目,条件7内容,条件7合算率%,条件7基準%,条件7残留系統,条件8項目,条件8内容,条件8合算率%,条件8基準%,条件8残留系統,実戦判定文
中京,1200,ダ,母父系,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,ロイヤルチャージャー系,4,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系,1135,171,15.07,16.3,7,前走所属,(栗),80.71,56.5,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前芝・ダ,ダ,90.98,63.69,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,所属,(栗),99.75,69.83,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,頭数,16,74.66,52.26,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,天気,晴,65.72,46.01,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系,馬場状態,良,71.68,50.18,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系,前距離,1200,60.85,42.6,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系,,,,,,中京ダ1200mは、ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系で、前走所属=(栗)、前芝・ダ=ダ、所属=(栗)、頭数=16、天気=晴、馬場状態=良、前距離=1200に該当する馬
中京,1200,ダ,父系,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・マンノウォー系,ロイヤルチャージャー系,1,ロイヤルチャージャー系,1135,5,0.44,0.5,8,前芝・ダ,芝,7.64,5.35,ロイヤルチャージャー系・ネイティヴダンサー系・マンノウォー系,所属,(栗),89.19,62.43,ロイヤルチャージャー系・ネイティヴダンサー系・マンノウォー系,前走所属,(栗),100.0,70.0,ロイヤルチャージャー系・ネイティヴダンサー系・マンノウォー系,替,*,66.67,46.67,ロイヤルチャージャー系・マンノウォー系,馬場状態,良,72.22,50.56,ロイヤルチャージャー系,前走馬場状態,良,76.92,53.85,ロイヤルチャージャー系,頭数,16,80.0,56.0,ロイヤルチャージャー系,性別,牝,62.5,43.75,ロイヤルチャージャー系,中京ダ1200mは、ロイヤルチャージャー系で、前芝・ダ=芝、所属=(栗)、前走所属=(栗)、替=*、馬場状態=良、前走馬場状態=良、頭数=16、性別=牝に該当する馬
中京,1400,ダ,母父系,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,ロイヤルチャージャー系,5,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,1568,350,22.32,24.1,7,前走所属,(栗),73.65,51.55,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,前芝・ダ,ダ,88.79,62.15,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,所属,(栗),99.8,69.86,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,頭数,16,73.48,51.44,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,前走頭数,16,67.22,47.05,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,前走出走頭数,16,95.9,67.13,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,前距離,1400,74.79,52.35,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系,,,,,,中京ダ1400mは、ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・その他のエクリプス系で、前走所属=(栗)、前芝・ダ=ダ、所属=(栗)、頭数=16、前走頭数=16、前走出走頭数=16、前距離=1400に該当する馬
中京,1400,ダ,父系,ロイヤルチャージャー系・ネイティヴダンサー系・ナスルーラ系・ニアークティック系・その他のエクリプス系,ロイヤルチャージャー系,3,ロイヤルチャージャー系・ネイティヴダンサー系・その他のエクリプス系,1568,11,0.7,0.8,8,前芝・ダ,芝,9.2,6.44,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・その他のエクリプス系,所属,(栗),80.0,56.0,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・その他のエクリプス系,前走所属,(栗),100.0,70.0,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・その他のエクリプス系,頭数,16,76.92,53.85,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・その他のエクリプス系,年齢,3,75.0,52.5,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・その他のエクリプス系,天気,晴,73.33,51.33,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・その他のエクリプス系,替,*,77.27,54.09,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・その他のエクリプス系,馬場状態,良,70.59,49.41,ロイヤルチャージャー系・ネイティヴダンサー系・その他のエクリプス系,中京ダ1400mは、ロイヤルチャージャー系・ネイティヴダンサー系・その他のエクリプス系で、前芝・ダ=芝、所属=(栗)、前走所属=(栗)、頭数=16、年齢=3、天気=晴、替=*、馬場状態=良に該当する馬
中京,1800,ダ,母父系,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,ロイヤルチャージャー系,4,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系,2131,328,15.39,16.6,7,前走所属,(栗),79.82,55.88,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前芝・ダ,ダ,89.87,62.91,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,所属,(栗),100.0,70.0,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,馬場状態,良,67.12,46.98,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,天気,晴,74.19,51.93,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前距離,1800,66.17,46.32,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前走馬場状態,良,68.04,47.63,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系,,,,,,中京ダ1800mは、ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系で、前走所属=(栗)、前芝・ダ=ダ、所属=(栗)、馬場状態=良、天気=晴、前距離=1800、前走馬場状態=良に該当する馬
中京,1800,ダ,父系,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・ナスルーラ系・トゥルビヨン系,ロイヤルチャージャー系,3,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系,2131,13,0.61,0.7,8,前芝・ダ,芝,8.67,6.07,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・トゥルビヨン系,所属,(栗),86.21,60.34,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・トゥルビヨン系,前走所属,(栗),100.0,70.0,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系・トゥルビヨン系,前走馬場状態,良,74.67,52.27,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系,天気,晴,78.57,55.0,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系,馬場状態,良,77.27,54.09,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系,替,*,64.71,45.29,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系,前クラス名,未勝利,59.09,41.36,ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系,中京ダ1800mは、ロイヤルチャージャー系・ネイティヴダンサー系・ニアークティック系で、前芝・ダ=芝、所属=(栗)、前走所属=(栗)、前走馬場状態=良、天気=晴、馬場状態=良、替=*、前クラス名=未勝利に該当する馬
中京,1900,ダ,母父系,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,ロイヤルチャージャー系,4,ロイヤルチャージャー系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,710,63,8.87,9.6,8,前走所属,(栗),83.26,58.28,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前芝・ダ,ダ,90.03,63.02,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,所属,(栗),100.0,70.0,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,性別,牡,89.32,62.52,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前走馬場状態,良,66.74,46.72,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,馬場状態,良,68.08,47.65,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,天気,晴,73.21,51.24,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前距離,1800,49.02,34.31,ロイヤルチャージャー系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,中京ダ1900mは、ロイヤルチャージャー系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系で、前走所属=(栗)、前芝・ダ=ダ、所属=(栗)、性別=牡、前走馬場状態=良、馬場状態=良、天気=晴、前距離=1800に該当する馬
中京,1900,ダ,父系,ロイヤルチャージャー系・ネイティヴダンサー系・ナスルーラ系・ニアークティック系・その他のエクリプス系,ロイヤルチャージャー系,2,ロイヤルチャージャー系・ネイティヴダンサー系,710,11,1.55,1.7,8,前芝・ダ,芝,9.57,6.7,ロイヤルチャージャー系・ネイティヴダンサー系・その他のエクリプス系,性別,牡,90.91,63.64,ロイヤルチャージャー系・ネイティヴダンサー系・その他のエクリプス系,所属,(栗),90.0,63.0,ロイヤルチャージャー系・ネイティヴダンサー系・その他のエクリプス系,前走所属,(栗),100.0,70.0,ロイヤルチャージャー系・ネイティヴダンサー系・その他のエクリプス系,年齢,3,85.19,59.63,ロイヤルチャージャー系・ネイティヴダンサー系,前走馬場状態,良,78.26,54.78,ロイヤルチャージャー系・ネイティヴダンサー系,斤量,56,77.78,54.44,ロイヤルチャージャー系・ネイティヴダンサー系,馬場状態,良,78.57,55.0,ロイヤルチャージャー系・ネイティヴダンサー系,中京ダ1900mは、ロイヤルチャージャー系・ネイティヴダンサー系で、前芝・ダ=芝、性別=牡、所属=(栗)、前走所属=(栗)、年齢=3、前走馬場状態=良、斤量=56、馬場状態=良に該当する馬
中京,1200,芝,母父系,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,ロイヤルチャージャー系,5,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,610,150,24.59,26.6,7,前走所属,(栗),76.27,53.39,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前芝・ダ,芝,92.45,64.71,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,所属,(栗),100.0,70.0,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,馬場状態,良,78.22,54.75,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前走馬場状態,良,80.38,56.27,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前距離,1200,75.2,52.64,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,天気,晴,78.53,54.97,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,,,,,,中京芝1200mは、ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系で、前走所属=(栗)、前芝・ダ=芝、所属=(栗)、馬場状態=良、前走馬場状態=良、前距離=1200、天気=晴に該当する馬
中京,1200,芝,父系,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,ロイヤルチャージャー系,4,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・その他のエクリプス系,610,77,12.62,13.6,7,前芝・ダ,芝,87.54,61.28,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,所属,(栗),82.64,57.85,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前走所属,(栗),99.58,69.71,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,馬場状態,良,75.95,53.16,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,前走馬場状態,良,80.56,56.39,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・ナスルーラ系・その他のエクリプス系,天気,晴,73.1,51.17,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・その他のエクリプス系,前距離,1200,75.49,52.84,ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・その他のエクリプス系,,,,,,中京芝1200mは、ロイヤルチャージャー系・ニアークティック系・ネイティヴダンサー系・その他のエクリプス系で、前芝・ダ=芝、所属=(栗)、前走所属=(栗)、馬場状態=良、前走馬場状態=良、天気=晴、前距離=1200に該当する馬
