判定,優先度,推奨運用,競馬場,芝ダ,距離,該当頭数,複勝圏内数,複勝率%,単勝回収率%,複勝回収率%,コース全体頭数,コース全体複勝率%,平均との差%,リフト,該当ルール数,採用スコア,判定理由
採用,A,本番ロジックに使用,中京,芝,1400,225,73,32.44,79.02,112.49,2672,19.69,12.76,1.648,2,103.3,主要基準クリア
採用,A,本番ロジックに使用,中京,芝,2200,201,70,34.83,101.19,94.98,1860,24.52,10.31,1.421,2,97.3,主要基準クリア
採用,A,本番ロジックに使用,阪神,芝,2000,288,94,32.64,95.97,124.93,2432,27.06,5.58,1.206,2,97.1,主要基準クリア
採用,A,本番ロジックに使用,福島,ダ,1150,175,53,30.29,107.83,98.4,2805,19.57,10.71,1.547,2,96.6,主要基準クリア
採用,A,本番ロジックに使用,京都,芝,1600,273,91,33.33,124.8,95.24,2737,24.15,9.18,1.38,2,95.2,主要基準クリア
採用,A,本番ロジックに使用,東京,ダ,1400,419,121,28.88,64.7,90.02,6892,19.11,9.77,1.511,2,93.0,主要基準クリア
採用,A,本番ロジックに使用,京都,芝,2000,251,83,33.07,69.4,96.33,1848,27.44,5.63,1.205,2,91.7,主要基準クリア
採用,A,本番ロジックに使用,福島,芝,2000,189,57,30.16,115.77,86.98,2438,21.16,8.99,1.425,2,91.7,主要基準クリア
採用,A,本番ロジックに使用,阪神,芝,1400,480,144,30.0,69.04,86.69,2786,21.61,8.39,1.388,2,90.8,主要基準クリア
採用,A,本番ロジックに使用,中京,芝,2000,442,136,30.77,97.9,86.52,3414,23.67,7.1,1.3,2,89.7,主要基準クリア
採用,A,本番ロジックに使用,阪神,ダ,1800,737,219,29.72,98.32,86.4,5979,22.88,6.83,1.299,1,88.7,主要基準クリア
採用,A,本番ロジックに使用,小倉,芝,2000,277,80,28.88,103.36,89.82,2807,23.51,5.37,1.228,2,87.3,主要基準クリア
採用,B,本番ロジックに使用,阪神,芝,2400,218,76,34.86,92.06,104.86,1231,30.22,4.64,1.154,2,93.9,主要基準クリア
採用,B,本番ロジックに使用,札幌,芝,1800,141,49,34.75,118.87,80.71,1302,24.88,9.87,1.397,2,92.7,主要基準クリア
採用,B,本番ロジックに使用,福島,芝,1800,193,52,26.94,88.29,103.47,2390,20.71,6.23,1.301,2,89.8,主要基準クリア
採用,B,本番ロジックに使用,阪神,ダ,1200,607,165,27.18,66.44,85.78,4063,19.94,7.25,1.364,2,87.7,主要基準クリア
採用,B,本番ロジックに使用,京都,ダ,1400,776,197,25.39,78.21,88.52,3559,20.15,5.24,1.26,2,84.7,主要基準クリア
採用,B,本番ロジックに使用,福島,ダ,1700,244,61,25.0,43.11,82.91,3381,20.85,4.15,1.199,2,82.0,主要基準クリア
採用,B,本番ロジックに使用,中山,芝,2500,120,34,28.33,112.58,87.25,1278,23.94,4.39,1.183,2,81.4,主要基準クリア
保留,C,参考表示・追加検証,札幌,芝,2000,68,26,38.24,237.94,122.35,1416,23.09,15.14,1.656,2,99.4,該当頭数不足
保留,C,参考表示・追加検証,福島,芝,2600,47,19,40.43,84.47,109.57,1293,22.27,18.15,1.815,2,99.1,該当頭数不足
保留,C,参考表示・追加検証,新潟,芝,2400,31,12,38.71,114.52,188.06,405,24.44,14.27,1.584,2,99.0,該当頭数不足
保留,C,参考表示・追加検証,小倉,芝,2600,94,39,41.49,84.79,85.11,933,25.08,16.41,1.654,2,98.2,該当頭数不足
保留,C,参考表示・追加検証,小倉,ダ,1000,82,27,32.93,168.29,91.1,1184,22.38,10.55,1.471,2,86.8,該当頭数不足
保留,C,参考表示・追加検証,京都,ダ,1800,630,187,29.68,77.68,73.16,4690,22.79,6.89,1.302,2,86.1,複勝回収率不足
保留,C,参考表示・追加検証,函館,芝,1200,447,123,27.52,64.27,79.89,2848,22.23,5.29,1.238,2,84.3,複勝回収率不足
保留,C,参考表示・追加検証,中京,ダ,1400,658,172,26.14,68.53,75.99,3669,20.01,6.13,1.307,2,83.7,複勝回収率不足
保留,C,参考表示・追加検証,東京,芝,2000,350,104,29.71,87.66,74.29,2653,26.69,3.03,1.113,2,82.6,リフト不足・複勝回収率不足
保留,C,参考表示・追加検証,京都,芝,2400,180,54,30.0,65.0,75.33,1050,27.71,2.29,1.082,2,82.4,リフト不足・複勝回収率不足
保留,C,参考表示・追加検証,新潟,ダ,1200,279,69,24.73,80.75,85.45,4470,20.74,3.99,1.193,2,82.1,複勝率不足
保留,C,参考表示・追加検証,京都,芝,1200,450,109,24.22,66.96,83.02,1976,19.84,4.38,1.221,2,81.8,複勝率不足
保留,C,参考表示・追加検証,阪神,ダ,1400,1197,287,23.98,49.31,85.75,5339,20.06,3.92,1.195,2,81.6,複勝率不足
保留,C,参考表示・追加検証,新潟,芝,2000,189,50,26.46,92.54,78.15,1851,23.07,3.39,1.147,2,81.2,リフト不足・複勝回収率不足
保留,C,参考表示・追加検証,中山,芝,1800,166,45,27.11,73.49,74.04,2615,23.56,3.55,1.151,2,81.1,複勝回収率不足
保留,C,参考表示・追加検証,京都,芝,1400,265,65,24.53,83.51,91.21,2279,22.42,2.11,1.094,2,81.1,複勝率不足・リフト不足
保留,C,参考表示・追加検証,中京,ダ,1800,520,137,26.35,80.15,74.25,3887,22.41,3.94,1.176,2,81.0,複勝回収率不足
保留,C,参考表示・追加検証,中京,ダ,1200,340,80,23.53,85.74,83.03,2173,19.51,4.02,1.206,2,80.9,複勝率不足
保留,C,参考表示・追加検証,中京,芝,1200,516,121,23.45,110.58,80.14,2242,18.91,4.54,1.24,2,80.9,複勝率不足
保留,C,参考表示・追加検証,東京,芝,2400,252,71,28.17,36.07,71.07,2492,25.04,3.13,1.125,2,80.9,リフト不足・複勝回収率不足
保留,C,参考表示・追加検証,中京,芝,1600,389,103,26.48,74.45,73.86,2824,22.77,3.71,1.163,2,80.7,複勝回収率不足
保留,C,参考表示・追加検証,新潟,芝,1800,118,32,27.12,64.58,78.98,2159,21.86,5.26,1.24,2,79.6,複勝回収率不足
保留,C,参考表示・追加検証,阪神,芝,1600,549,142,25.87,58.05,71.31,3849,22.68,3.18,1.14,2,79.2,リフト不足・複勝回収率不足
保留,C,参考表示・追加検証,阪神,ダ,2000,217,56,25.81,57.51,73.36,1606,23.35,2.46,1.105,2,78.9,リフト不足・複勝回収率不足
保留,C,参考表示・追加検証,小倉,芝,1800,326,79,24.23,103.31,70.98,2761,22.71,1.52,1.067,2,76.3,複勝率不足・リフト不足・複勝回収率不足
保留,C,参考表示・追加検証,札幌,芝,1500,81,23,28.4,33.33,76.79,971,23.89,4.5,1.188,2,74.3,該当頭数不足・複勝回収率不足
保留,C,参考表示・追加検証,京都,ダ,1900,96,23,23.96,52.5,79.69,1595,22.57,1.39,1.061,2,70.5,該当頭数不足・複勝率不足・リフト不足・複勝回収率不足
除外,D,現時点では使用しない,中山,芝,3600,16,9,56.25,70.62,170.0,136,22.06,34.19,2.55,2,122.1,該当頭数不足
除外,D,現時点では使用しない,中山,芝,3210,11,6,54.55,105.45,171.82,102,23.53,31.02,2.318,2,121.5,該当頭数不足
除外,D,現時点では使用しない,阪神,芝,3200,6,4,66.67,86.67,175.0,59,20.34,46.33,3.278,2,120.8,該当頭数不足
除外,D,現時点では使用しない,小倉,ダ,2400,5,4,80.0,28.0,268.0,146,26.71,53.29,2.995,2,120.7,該当頭数不足
除外,D,現時点では使用しない,京都,芝,3170,4,4,100.0,162.5,172.5,68,30.88,69.12,3.238,2,120.5,該当頭数不足
除外,D,現時点では使用しない,札幌,ダ,2400,4,3,75.0,55.0,172.5,69,26.09,48.91,2.875,2,120.5,該当頭数不足
除外,D,現時点では使用しない,東京,ダ,3100,2,2,100.0,920.0,275.0,28,21.43,78.57,4.667,1,120.3,該当頭数不足
除外,D,現時点では使用しない,東京,ダ,1600,2,1,50.0,0.0,1165.0,7463,20.38,29.62,2.453,1,118.1,該当頭数不足
除外,D,現時点では使用しない,東京,芝,3400,7,5,71.43,125.71,135.71,142,21.13,50.3,3.381,2,118.1,該当頭数不足
除外,D,現時点では使用しない,中山,芝,4250,11,8,72.73,67.27,123.64,86,27.91,44.82,2.606,1,116.2,該当頭数不足
除外,D,現時点では使用しない,函館,芝,2600,27,16,59.26,101.48,112.96,495,26.67,32.59,2.222,2,115.6,該当頭数不足
除外,D,現時点では使用しない,中京,芝,3900,2,2,100.0,115.0,125.0,20,30.0,70.0,3.333,1,115.3,該当頭数不足
除外,D,現時点では使用しない,中山,芝,3350,8,5,62.5,115.0,118.75,121,24.79,37.71,2.521,2,114.8,該当頭数不足
除外,D,現時点では使用しない,中山,芝,3570,13,8,61.54,39.23,115.38,128,23.44,38.1,2.626,2,114.8,該当頭数不足
除外,D,現時点では使用しない,中山,ダ,3200,19,10,52.63,164.74,101.05,151,23.84,28.79,2.208,2,111.9,該当頭数不足
除外,D,現時点では使用しない,小倉,芝,1700,14,8,57.14,83.57,92.14,48,25.0,32.14,2.286,2,110.3,該当頭数不足
除外,D,現時点では使用しない,京都,ダ,3170,6,3,50.0,80.0,106.67,54,27.78,22.22,1.8,2,101.0,該当頭数不足
除外,D,現時点では使用しない,東京,芝,3110,18,9,50.0,35.0,80.0,344,25.29,24.71,1.977,2,100.8,該当頭数不足
除外,D,現時点では使用しない,中山,ダ,2500,17,8,47.06,111.76,77.06,135,22.22,24.84,2.118,2,100.4,該当頭数不足・複勝回収率不足
除外,D,現時点では使用しない,京都,芝,3930,17,8,47.06,8.82,122.35,83,28.92,18.14,1.627,2,99.6,該当頭数不足
除外,D,現時点では使用しない,阪神,芝,3000,24,11,45.83,53.75,82.08,223,24.22,21.62,1.893,2,96.8,該当頭数不足
除外,D,現時点では使用しない,阪神,芝,2200,67,28,41.79,102.69,82.69,824,26.58,15.21,1.572,2,92.7,該当頭数不足
